maker,name,model_no,aliases,status,release_year,long_cm,short_cm,height_cm,area_m2,long_m,class,source_url,source_type,checked_date,flag
ゼインアーツ,WOOTA-S TC,,,現行,,,,,,,,https://zanearts.com/products/woota-s-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,WOOTA-M TC,,,現行,,,,,,,,https://zanearts.com/products/woota-m-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,WOOTA-L TC,,,現行,,,,,,,,https://zanearts.com/products/woota-l-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,TAO-1,,,現行,,,,,,,,https://zanearts.com/products/tao-1,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,TAO-2,,,現行,,,,,,,,https://zanearts.com/products/tao-2,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,YAR-1,,,現行,,,,,,,,https://zanearts.com/products/yar-1,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,YAR-2,,,現行,,,,,,,,https://zanearts.com/products/yar-2,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,BAMI,,,現行,,,,,,,,https://zanearts.com/products/bami,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GEU,,,現行,,,,,,,,https://zanearts.com/products/geu,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GEU TC,,,現行,,,,,,,,https://zanearts.com/products/geu-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,ZEKU-L,,,現行,,,,,,,,https://zanearts.com/products/zeku-l,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,ZEKU-M TC,,,現行,,,,,,,,https://zanearts.com/products/zeku-m-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,ZEKU-M,,,現行,,,,,,,,https://zanearts.com/products/zeku-m,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GIGI-1 TC,,,現行,,,,,,,,https://zanearts.com/products/gigi-1-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GIGI-1,,,現行,,,,,,,,https://zanearts.com/products/gigi-1,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GIGI-2 TC,,,現行,,,,,,,,https://zanearts.com/products/gigi-2-tc,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GIGI-2,,,現行,,,,,,,,https://zanearts.com/products/gigi-2,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,ROGA,,,現行,,,,,,,,https://zanearts.com/products/roga,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,GIMORG,,,現行,,,,,,,,https://zanearts.com/products/gimorg,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
ゼインアーツ,OKITOMA-2,,,現行,,,,,,,,https://zanearts.com/products/okitoma-2,公式,2026-09-24,サイズ欠損;公式ページの記載は収納(キャリーバッグ)サイズのみ。使用時サイズは仕様図画像(img-spec)のみでテキスト無し;サイズ欠損
